gouvernorat,delegation,prix,superficie,chambres,salle_de_bains,etat,etage
tunis,Ariana Ville,,125,2.0,2.0,Moins d'un an,2ème
tunis,Ariana Ville,,181,3.0,2.0,Moins d'un an,
tunis,Ariana Ville,,65,1.0,1.0,Nouveau,
tunis,Aouina,340000.0,88,2.0,1.0,Moins d'un an,
tunis,Ain Zaghouan,,121,2.0,2.0,Moins d'un an,2ème
tunis,Ain Zaghouan,,148,,,,
tunis,El Ouardia,135000.0,100,,,,
tunis,Ariana Ville,680000.0,152,,,,
tunis,Ariana Ville,470000.0,120,1.0,1.0,Moins d'un an,
tunis,El Manar,260000.0,145,3.0,1.0,Bon état,4ème
tunis,Ariana Ville,620000.0,132,2.0,2.0,Nouveau,5ème
tunis,Ariana Ville,550000.0,145,,,,
tunis,Gammarth,774000.0,209,3.0,1.0,Nouveau,
tunis,Aouina,250000.0,80,2.0,1.0,Nouveau,
tunis,El Ouardia,125000.0,65,,,,
tunis,Ariana Ville,,125,2.0,2.0,1-5 ans,1er
tunis,Ariana Ville,1270000.0,249,,,,
tunis,Aouina,275000.0,2,1.0,,Nouveau,
tunis,Gammarth,900000.0,242,3.0,2.0,Nouveau,
tunis,Ain Zaghouan,538000.0,164,3.0,3.0,Moins d'un an,3ème
tunis,Ariana Ville,334000.0,99,2.0,2.0,Moins d'un an,
tunis,Ariana Ville,698000.0,147,3.0,3.0,Moins d'un an,
tunis,Aouina,255000.0,68,1.0,1.0,Moins d'un an,
tunis,Ariana Ville,,97,2.0,2.0,Moins d'un an,1er
tunis,Ariana Ville,,75,1.0,1.0,Moins d'un an,5ème
tunis,Gammarth,584000.0,139,2.0,1.0,Nouveau,
tunis,Gammarth,750000.0,158,2.0,2.0,1-5 ans,2ème
tunis,Ariana Ville,1146000.0,191,2.0,1.0,Nouveau,
tunis,Ain Zaghouan,650000.0,146,3.0,3.0,Nouveau,
tunis,Ain Zaghouan,235000.0,93,2.0,1.0,Bon état,
tunis,Gammarth,513000.0,133,2.0,1.0,Nouveau,1er
tunis,Ain Zaghouan,210000.0,73,1.0,1.0,Bon état,
tunis,Aouina,,183,2.0,1.0,1-5 ans,
tunis,Ariana Ville,386000.0,131,1.0,,,
tunis,Ain Zaghouan,,220,3.0,2.0,1-5 ans,4ème
tunis,Ain Zaghouan,,73,1.0,1.0,1-5 ans,4ème
tunis,Gammarth,740000.0,250,3.0,2.0,1-5 ans,
tunis,Ain Zaghouan,350000.0,160,3.0,2.0,1-5 ans,6ème
tunis,Aouina,420000.0,127,1.0,1.0,1-5 ans,
tunis,Ain Zaghouan,,236,3.0,2.0,1-5 ans,3ème
tunis,Ariana Ville,980000.0,288,5.0,3.0,Bon état,1er
tunis,Ain Zaghouan,750000.0,172,2.0,1.0,Bon état,
tunis,Ariana Ville,240000.0,50,1.0,1.0,1-5 ans,
tunis,Ariana Ville,695000.0,150,3.0,2.0,Moins d'un an,1er
tunis,Aouina,395000.0,195,4.0,2.0,5-10 ans,4ème
tunis,Ariana Ville,550000.0,1325,2.0,1.0,Bon état,
tunis,Ain Zaghouan,370000.0,120,2.0,1.0,Moins d'un an,
tunis,Ain Zaghouan,280000.0,116,2.0,1.0,Bon état,
tunis,Ariana Ville,470000.0,121,1.0,1.0,Moins d'un an,
tunis,Ariana Ville,430000.0,210,1.0,1.0,Moins d'un an,
tunis,Le Bardo,180000.0,3,1.0,,Bon état,
tunis,El Menzah 7,285000.0,140,3.0,1.0,Bon état,
tunis,Ariana Ville,220000.0,100,2.0,1.0,1-5 ans,3ème
tunis,Ariana Ville,780000.0,170,3.0,1.0,1-5 ans,
tunis,El Menzah 7,380000.0,117,2.0,1.0,5-10 ans,5ème
tunis,Les Berges Du Lac,860000.0,194,3.0,2.0,Bon état,
tunis,Aouina,206000.0,57,1.0,1.0,Nouveau,
tunis,Ariana Ville,370000.0,61,,,,
tunis,El Menzah 7,400000.0,130,2.0,1.0,1-5 ans,4ème
tunis,Ariana Ville,280000.0,67,1.0,1.0,Bon état,
tunis,Ariana Ville,365000.0,127,2.0,1.0,5-10 ans,
tunis,Ain Zaghouan,415000.0,85,1.0,1.0,Moins d'un an,3ème
tunis,Ariana Ville,620000.0,199,3.0,3.0,Bon état,
tunis,Ain Zaghouan,245000.0,45,1.0,1.0,Moins d'un an,3ème
tunis,Ain Zaghouan,259500.0,74,,,Nouveau,
tunis,Ariana Ville,,74,1.0,1.0,Moins d'un an,
tunis,Ain Zaghouan,472000.0,164,2.0,2.0,Nouveau,
tunis,Ain Zaghouan,238000.0,66,1.0,1.0,Nouveau,
tunis,Ain Zaghouan,375000.0,102,2.0,1.0,Nouveau,
tunis,Ain Zaghouan,434000.0,137,2.0,2.0,Nouveau,
tunis,Aouina,170000.0,60,1.0,1.0,Bon état,
tunis,Cite El Khadra,385000.0,141,2.0,2.0,5-10 ans,
tunis,La Goulette,680000.0,178,3.0,3.0,Moins d'un an,3ème
tunis,Ariana Ville,1490000.0,540,4.0,5.0,1-5 ans,9ème
tunis,Les Berges Du Lac,990000.0,300,9.0,2.0,10-20 ans,4ème
tunis,Aouina,320000.0,132,3.0,2.0,10-20 ans,4ème
tunis,Ain Zaghouan,1100000.0,236,4.0,3.0,Moins d'un an,
tunis,Cite El Khadra,255000.0,87,2.0,,Bon état,2ème
tunis,Ariana Ville,383000.0,100,2.0,1.0,1-5 ans,
tunis,La Goulette,,246,3.0,1.0,Nouveau,
tunis,Aouina,180000.0,54,1.0,1.0,Moins d'un an,5ème
tunis,Ain Zaghouan,450000.0,140,2.0,1.0,Bon état,
tunis,Ain Zaghouan,390000.0,150,3.0,1.0,1-5 ans,
tunis,Ain Zaghouan,970000.0,180,3.0,3.0,Nouveau,
tunis,Ariana Ville,590000.0,125,2.0,2.0,Moins d'un an,4ème
tunis,Ain Zaghouan,620000.0,140,2.0,3.0,Nouveau,
tunis,Ariana Ville,336000.0,60,1.0,1.0,Nouveau,
tunis,Gammarth,490000.0,175,3.0,2.0,Bon état,2ème
tunis,Ariana Ville,649000.0,141,2.0,3.0,Moins d'un an,
tunis,Aouina,390000.0,150,3.0,2.0,1-5 ans,2ème
tunis,Ariana Ville,368000.0,98,2.0,1.0,Bon état,
tunis,Bab Saadoun,250000.0,100,3.0,1.0,Bon état,
tunis,Ain Zaghouan,236000.0,66,1.0,1.0,Nouveau,
tunis,Ain Zaghouan,580000.0,136,2.0,2.0,1-5 ans,
tunis,Ain Zaghouan,560000.0,300,2.0,2.0,Nouveau,
tunis,Ain Zaghouan,232000.0,64,1.0,1.0,Nouveau,
